#I, J,  Distance,  diameter
158,1254,11.335,2.425
3528,7062,10.309,2.1991
756,1437,8.9668,3.5766
158,4616,8.7487,1.5557
158,537,12.775,2.65
1837,4694,6.2929,1.8639
537,1748,8.079,2.09
1748,1805,6.044,2.1679
6193,9407,8.1015,1.2352
5274,6193,10.09,1.624
1139,6145,10.116,2.1787
5274,6492,9.5402,1.5433
7949,9408,3.6553,0.97591
3012,4285,13.574,1.7171
840,7829,16.072,1.331
8344,9645,4.2403,1.146
4096,4128,5.6611,2.6075
6527,7065,7.1801,1.6454
1171,6736,7.6932,2.4681
4403,6562,7.4803,1.3636
5636,6110,13.485,1.7587
5671,7537,13.25,1.6438
5636,5926,8.6747,1.6479
2493,4651,7.0057,2.1786
4651,7538,5.9202,2.2926
411,2864,11.425,1.6367
2910,4612,8.2616,2.2396
2910,4481,13.472,1.7152
5425,6648,13.648,1.9563
1375,6047,9.4016,2.1912
4481,7824,6.0712,1.4566
5062,8518,4.5267,1.0191
3747,9463,11.645,0.27176
819,2865,6.3711,2.0447
2688,5415,8.2183,1.6725
610,2862,22.396,1.2595
874,5415,13.176,1.6596
1892,2083,21.634,2.357
8630,9174,3.8825,0.98824
4495,8630,7.977,1.5842
874,6311,10.576,2.1233
1304,8631,7.6576,1.7962
5421,6311,4.8728,1.8395
2083,4581,12.544,1.7257
1232,3198,11.582,2.9665
1829,5421,8.0739,2.2294
479,825,14.636,2.9781
310,825,6.7631,3.3307
2531,4907,10.406,2.3784
478,600,6.5047,2.6568
6826,7208,6.6262,1.8739
924,2047,8.7102,2.159
3796,5722,12.603,1.3447
818,851,10.438,2.4699
924,6962,12.942,2.0004
3796,4860,8.1485,2.0106
2882,6786,9.4013,2.0491
2149,4895,15.182,1.7906
4895,5133,12.068,1.3895
1004,4166,7.546,1.2642
6439,9570,7.7574,1.2302
3443,3554,8.928,1.6676
4,111,12.406,4.4146
111,420,16.377,2.8158
3554,3755,9.5919,1.7287
4116,6821,7.563,1.5537
6,420,13.1,2.4681
1,13,15.169,4.7498
992,1951,14.158,1.5671
7822,7831,4.9931,2.1698
927,7526,6.5944,1.6995
589,756,7.2564,3.7224
3528,3754,10.523,2.2972
158,1791,11.354,2.437
4653,7822,8.9483,1.6041
309,927,14.654,1.8585
6616,7062,9.1343,1.6963
4653,7066,7.2149,1.836
1708,9428,12.803,1.5626
158,1750,11.59,2.3156
1750,4616,8.1024,1.9605
5010,7066,11.945,1.6196
4616,5429,6.0444,1.58
1048,2214,12.98,3.1774
1137,9129,9.1893,1.0531
537,1750,5.4537,2.147
178,579,14.716,2.8082
178,2144,16.277,1.9681
669,757,11.296,2.0475
970,2144,9.6,2.3378
1048,1805,14.561,2.2636
285,669,7.3119,3.2662
726,1048,11.46,2.3009
4096,4117,11.352,2.0307
3012,7213,10.975,1.2247
4753,7829,6.5548,1.9941
6071,7213,12.425,2.0671
2927,4096,8.8721,2.7385
6071,6527,10.903,2.294
4176,6071,9.7751,2.0133
3783,6562,11.426,2.4018
2927,4815,12.45,1.8311
7537,9472,4.8945,1.0666
4128,4618,8.9763,1.6025
5891,9472,8.1589,1.2619
5891,9131,5.2088,1.3293
5891,6110,10.94,1.5365
5636,5891,7.2956,1.589
4403,5926,7.4216,1.7067
411,4829,12.68,1.5877
1754,2864,8.2025,1.896
1662,6754,9.198,2.232
4053,6754,12.342,1.3969
3747,5168,12.777,1.708
283,4053,10.239,2.3565
283,2578,8.7605,2.2938
1892,8807,8.4424,1.6712
2578,2865,6.1999,2.3038
1751,7824,9.0918,1.0528
7061,7076,6.2923,1.5924
1375,4437,9.7475,2.6273
7073,7076,7.2405,1.054
283,2865,8.2499,2.2128
6269,7824,7.3835,1.3035
1892,4115,6.9017,1.8045
1751,6269,9.9558,2.2942
4115,5053,6.6099,1.299
2580,5053,14.841,1.7261
133,1892,11.146,2.9891
610,5053,11.822,1.6966
1024,4437,7.5979,2.3087
874,8543,16.473,1.7075
1024,7749,10.252,1.1644
4652,8543,12.382,1.4366
4631,9566,7.004,1.0999
1304,9566,5.3735,1.2797
479,6245,10.539,2.021
46,278,9.2639,2.9568
46,4235,11.044,2.511
1280,2379,16.522,1.6912
610,1829,15.648,2.2247
479,2379,9.0599,2.2772
1549,4581,10.323,2.4125
4304,8631,8.082,1.2968
4581,4838,9.9212,1.4755
1513,3751,12.364,2.3779
177,825,11.745,3.0235
621,4425,15.52,2.3564
1232,1513,15.574,2.5774
478,1280,12.948,2.0172
310,1513,15.716,1.7623
57,177,8.9641,2.8186
57,478,9.7752,3.0323
5182,6679,7.6069,1.941
310,1576,9.5724,2.4745
2531,6826,8.3036,1.7496
310,2047,12.529,2.6269
5722,6117,9.2479,1.976
7208,9568,5.8378,1.2557
5182,6117,11.802,1.7809
5722,6693,6.3988,1.5631
340,361,10.762,1.7286
340,4617,6.8803,1.6187
818,2149,6.7096,2.4988
2882,5409,7.0755,2.5357
5409,7069,13.348,1.4686
2069,6962,14.253,1.7154
2882,4301,16.358,1.8286
2596,4664,15.631,2.3174
249,4617,7.0737,2.1437
3588,4330,12.281,2.1983
2061,5725,14.401,1.7614
2596,6819,9.4675,1.6913
2069,4301,9.3104,1.6397
2928,4895,15.597,2.1784
2596,3588,10.262,1.663
2061,7509,6.6616,1.6273
1807,7827,6.7909,1.82
4895,5430,11.206,1.5693
5163,5430,12.69,1.5056
6124,6824,7.5665,1.6495
6124,7628,8.3684,1.6697
5357,6094,6.6334,2.1819
1646,5918,9.6773,1.7232
1004,6408,9.8363,1.6263
110,2023,11.879,2.0653
7190,8218,8.4874,1.6573
5163,6415,7.9571,1.7798
5413,5582,6.9202,1.8699
2687,5163,11.62,1.6151
1380,6408,7.9222,2.2273
5918,7508,7.8329,1.2035
2687,2691,7.1849,2.2204
815,1380,8.63,2.5547
4,7508,9.0653,1.8891
67,1667,15.251,2.1147
815,4141,10.621,2.2345
1380,4302,8.7824,1.6369
1921,7946,13.668,1.2136
3755,4114,11.469,2.1614
420,4114,8.8476,1.6982
6817,9261,5.2483,1.2132
2992,5391,9.5386,2.2978
1,111,9.8804,3.3057
4116,7074,4.9954,1.2968
2692,2992,19.487,1.5704
1025,5127,13.32,1.7402
2692,3738,12.369,1.6552
1951,4044,5.4462,1.8287
1,9572,16.233,1.2015
1309,7463,13.443,2.0026
7934,8220,11.594,1.4294
1999,4653,13.735,2.1163
30,7934,12.533,1.9202
30,4616,12.829,2.3286
1999,7066,13.275,1.5801
3779,7062,12.938,1.724
537,1048,17.194,1.1401
285,309,13.193,2.0371
537,1805,11.512,1.6073
579,2144,9.7911,2.774
4694,6145,9.524,1.0886
285,1048,13.268,2.5224
9407,9408,1.4123,1.4871
6145,7949,6.0259,1.6333
4176,5418,10.678,1.0768
4176,6492,10.341,1.5926
757,4117,11.562,1.9666
2840,6145,6.461,1.225
3012,4176,15.626,1.6561
4176,9373,5.3026,1.2168
8344,9373,8.864,1.2009
6527,7213,10.409,1.7468
2927,4128,9.499,2.1299
7537,9563,5.5581,1.7903
383,4128,12.871,2.2859
1171,3155,10.366,2.6859
3155,4651,9.3358,1.9222
411,1754,13.662,1.5682
4612,5636,8.5048,1.9821
2658,2910,11.572,1.7262
2658,4927,8.9717,1.9683
4927,6023,17.593,1.8384
2864,6047,10.261,1.8815
5710,6023,13.932,1.7984
3747,5425,8.7195,2.1413
5710,7824,6.9208,1.5255
5168,8807,9.7429,1.2528
4655,7061,6.0428,1.7289
7061,7073,5.5626,1.5208
2862,5415,9.2794,2.0043
4631,7061,12.992,1.2457
610,2580,13.932,2.1178
819,4495,13.309,1.4102
1304,4631,7.8051,2.5864
46,1751,13.721,2.6327
2083,4737,9.3695,2.18
1024,1280,21.895,1.7797
479,7749,6.7166,1.3718
4495,4652,10.457,1.4038
4581,4737,6.3839,2.3782
1232,3751,8.538,2.4124
4425,4495,10.879,1.9952
46,1549,15.563,1.655
177,479,12.1,3.0323
825,3198,15.293,2.3036
3551,5421,9.8223,1.7108
329,4304,20.423,1.4748
1549,4907,8.8815,1.9179
177,478,7.4338,2.2228
4304,6679,10.528,1.7522
621,8559,8.0892,1.6423
481,621,9.5073,3.0256
3551,7832,4.9854,1.5136
57,600,10.394,2.9111
310,6455,12.998,1.4188
478,662,6.4604,2.379
600,2047,12.749,2.5582
924,2265,9.4413,1.9437
3796,6117,13.252,1.7915
361,851,12.813,2.2124
2265,4951,6.3527,2.0841
4860,6693,9.2369,1.3277
3796,9310,9.4264,1.3761
1407,4617,9.9125,2.0482
