node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
1,  14.56700000, 206.71000000, 150.36000000, 138.10000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  68.04100000,  27.00000000,   0.34615385,   0.16407287,   8.07692308,   8.28044561,   0.00789793,   0.12813327,   0.00780138,   0.00299002,   0.00553684,   0.00059902
2,  14.37400000,  91.50400000, 105.30000000, 196.45000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  52.71830000,  15.00000000,   0.33333333,   0.17037268,   9.80000000,   9.67557186,   0.00607533,   0.13841238,   0.01153126,   0.00425680,   0.06029004,   0.04673473
3,  14.12900000,  81.57000000,  17.71200000, 182.39000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  61.63820000,  18.00000000,   0.40000000,   0.23155049,   9.60000000,   9.99363869,   0.00607533,   0.13521728,   0.01244260,   0.00308088,   0.00588641,   0.00052976
4,  14.18500000, 122.56000000,  91.51700000, 126.09000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  17.00000000,  89.53579000,  28.00000000,   0.20588235,   0.10362329,   8.58823529,   8.91407470,   0.01032807,   0.17133340,   0.09401383,   0.15255183,   0.02829256,   0.00312236
5,  14.26200000,  63.26800000,  61.98500000,  63.18900000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  17.00000000,  85.14920000,  30.00000000,   0.22058824,   0.10187699,   9.94117647,   9.98986955,   0.01032807,   0.14466514,   0.04518225,   0.01792537,   0.00601905,   0.00011222
6,  14.13200000,  86.63000000,  14.52200000, 204.70000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   7.00000000,  43.10520000,  12.00000000,   0.57142857,   0.31873633,   8.85714286,   9.05759398,   0.00425273,   0.12254318,   0.00124492,   0.00099938,   0.00280533,   0.00026549
7,  13.91000000,  98.88900000,  62.51800000,  57.52100000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  16.00000000,  71.13364000,  27.00000000,   0.22500000,   0.09749484,   8.75000000,   9.62763413,   0.00972053,   0.14491988,   0.03333086,   0.05887497,   0.00387486,   0.00006199
8,  13.93400000,  65.45500000,  18.94800000, 192.50000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  14.00000000,  96.72840000,  29.00000000,   0.31868132,   0.19440788,   8.35714286,   8.31143490,   0.00850547,   0.12569683,   0.01343608,   0.00363338,   0.00526982,   0.00055671
9,  13.74000000, 134.30000000, 187.38000000, 131.15000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  18.00000000,  76.14713000,  32.00000000,   0.20915033,   0.07982901,   8.88888889,   8.83821846,   0.01093560,   0.16311565,   0.09455643,   0.06892199,   0.05238433,   0.00660779
10,  13.93700000,  99.32400000,   7.84130000,  21.54600000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  11.00000000,  55.09500000,  19.00000000,   0.34545455,   0.15289963,   7.72727273,   7.87037662,   0.00668287,   0.10878329,   0.00410358,   0.00132808,   0.00020051,   0.00000058
11,  13.61200000,  76.61200000,  73.30800000,  60.46600000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  14.00000000,  75.63348000,  24.00000000,   0.26373626,   0.13458258,   9.00000000,   9.78124582,   0.00850547,   0.14388112,   0.01938955,   0.00975894,   0.00425880,   0.00011803
12,  13.74300000, 146.03000000,  12.32900000,  91.71200000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  66.18860000,  22.00000000,   0.28205128,   0.12758735,   8.38461538,   8.61009449,   0.00789793,   0.13701823,   0.00979749,   0.00137240,   0.00290565,   0.00004757
13,  13.48800000, 121.49000000,  68.45400000,  63.63100000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  16.00000000,  68.53124000,  32.00000000,   0.26666667,   0.10662074,   8.75000000,   8.54273029,   0.00972053,   0.14832838,   0.03760495,   0.09889831,   0.00355069,   0.00008764
14,  13.51000000, 194.85000000,  80.62400000,  44.65400000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  52.70330000,  12.00000000,   0.26666667,   0.13174835,   8.40000000,   9.05957312,   0.00607533,   0.12933134,   0.01949466,   0.00648824,   0.00059678,   0.00000912
15,  13.20100000,  27.67500000,  23.88100000,  97.92200000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  21.00000000,  94.58922000,  42.00000000,   0.20000000,   0.08760254,   8.42857143,   8.42634901,   0.01275820,   0.13196504,   0.01958500,   0.02819620,   0.00696825,   0.00005455
16,  13.17000000,  94.24700000, 147.83000000, 188.63000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  19.00000000,  91.91169000,  43.00000000,   0.25146199,   0.12578943,  10.73684211,  10.66023190,   0.01154313,   0.15112009,   0.04859157,   0.06277648,   0.29304250,   0.29945113
