#ID, Diameter,  Xcor,  Ycor,  Zcor
1,6.6709,204.2,0.13625,118.39
2,6.055,210.73,152.14,193.91
3,6.0739,135.09,66.929,82.381
4,5.9804,184.28,0.13625,118.32
5,5.9368,119.5,65.24,80.682
6,5.8664,206.47,0.13625,103.31
7,5.8501,52.45,49.492,204.39
8,5.85,98.915,77.286,60.086
9,5.8122,203.37,76.025,86.524
10,5.7803,9.1607,11.55,35.422
11,5.6923,215.63,114.08,185.05
12,5.5834,127.39,65.478,75.125
13,5.6045,203.38,7.2344,112.33
14,5.6118,137.58,20.029,158.46
15,5.5454,210.77,14.321,109.88
16,5.5196,85.442,69.287,72.864
17,5.5416,160.14,217.86,74.607
18,5.4695,8.3574,183.5,210.8
19,5.5447,163.36,143.56,103.91
20,5.4174,155.19,63.57,76.156
21,5.507,197.89,172.38,153.07
22,5.5535,141.97,217.86,115.44
23,5.4043,88.644,82.704,90.841
24,5.4748,119.79,73.346,56.585
25,5.3033,62.282,157.97,84.611
26,5.3006,48.892,153.83,127.44
27,5.4828,194.39,38.773,193.2
28,5.37,180.25,40.552,77.012
29,5.2882,38.579,100.65,194.71
30,5.3498,14.091,10.708,150.56
31,5.3835,112.97,15.425,200.88
32,5.4219,85.225,48.563,118.46
33,5.2615,107.23,70.651,57.088
34,5.4245,192.58,66.989,190.46
35,5.1904,214.32,163.92,207
36,5.351,28.64,67.979,8.0976
37,5.2074,60.64,63.315,87.584
38,5.333,176.18,179.55,120.34
39,5.407,16.62,43.959,215.47
40,5.1919,162.28,134.48,176.48
41,5.389,158.38,29.279,97.301
42,5.2837,104.57,88.757,79.187
43,5.2882,6.5998,96.328,197.92
44,5.5745,6.2603,23.165,28.102
45,5.1846,21.353,80.55,108.61
46,5.2825,109.39,1.5197,148.79
47,5.0993,213.78,82.704,166.04
48,5.0967,33.96,97.679,186.29
49,5.1711,111.95,63.07,79.151
50,5.2145,56.453,39.908,57.299
51,5.1744,206.45,142.05,191.1
52,5.0785,157.15,172.64,108.57
53,5.1592,211.28,166.83,187.86
54,5.0901,154.42,139.73,174.79
55,5.0575,170.72,213.3,110.83
56,5.0251,111.9,78.385,61.765
57,5.1794,117.92,6.7632,196.77
58,5.0608,151.57,26.077,109.14
59,5.047,205.7,102.86,75.89
60,4.9232,13.488,78.349,208.63
61,5.12,43.603,108.07,138.86
62,5.1239,213.27,15.808,121.14
63,5.0925,120.54,27.852,152.66
64,5.0867,191.73,46.557,91.906
65,5.1635,116.76,84.798,96.735
66,4.9802,52.67,106.66,202.61
67,5.0358,187.42,7.2015,215.91
68,5.0842,211.68,138.32,155
69,5.0149,137.82,148.64,194.66
70,4.9244,104.23,87.641,72.34
71,5.0079,154.03,18.394,122.73
72,5.0334,110.73,29.337,201.04
73,5.0688,14.533,88.134,198.89
74,4.9377,212.44,139.95,194.41
75,5.0377,214.7,107.77,161.21
76,4.9759,178.9,169.28,115.4
77,4.9794,103.63,34.775,200.65
78,4.925,190.89,201.85,116.72
79,5.014,18.34,115.52,148.64
80,4.8801,203.47,183.82,182.44
81,4.9782,57.397,138.94,124.1
82,4.9935,183.76,104.86,91.356
83,4.959,153.54,19.852,111.05
84,4.9018,200.16,102.58,69.687
85,5.0042,214.29,92.358,162.01
86,4.9841,181.51,127.12,61.189
87,4.96,47.808,5.2312,35.885
88,5.0055,139.71,189.86,111.4
89,4.9767,12.879,33.685,215.86
90,4.9369,125.27,68.785,64.913
91,4.947,108.27,56.333,106.34
92,4.8878,214.58,104.17,184.85
93,5.0067,181.54,23.839,79.542
94,5.0061,99.361,79.44,46.595
95,4.8326,189.53,38.318,80.013
96,5.0067,39.782,85.671,110.21
97,5.0397,40.872,54.56,203.67
98,4.9549,106.22,82.693,47.478
99,4.9591,180.84,40.549,89.425
100,4.9152,15.327,85.236,191.42
101,4.8662,24.438,181.83,15.667
102,4.919,4.1352,21.853,126.56
103,4.9492,68.122,69.654,82.406
104,4.816,171.25,181.69,126.59
105,4.8479,178.4,171.06,212.42
106,4.7548,110.46,82.165,82.716
107,4.8589,91.925,66.336,11.775
108,4.9102,100.15,72.084,54.518
109,4.8709,183.71,169.6,125.25
110,4.7933,171.83,0.13625,193.13
111,4.9256,195.92,0.13625,115.95
112,4.9488,38.664,41.721,5.2782
113,4.7298,12.423,109.98,205.6
114,4.8321,155.01,111.84,120.04
115,4.9035,204.98,127.84,193.03
116,4.9321,37.749,90.002,170.31
117,4.8489,195.55,186.44,176.94
118,4.7569,148.98,66.112,71.782
119,5.0001,155.4,130.25,103
120,4.9384,181.4,94.229,76.025
121,4.7286,71.786,40.959,37.743
122,4.977,81.287,64.602,67.577
123,4.7249,167.49,148.34,97.708
124,4.7268,20.045,105.91,193.31
125,4.7288,79.951,45.057,103.16
126,4.7403,157.1,39.98,94.983
127,4.8588,179.39,214.27,108.76
128,4.7517,18.688,105.38,215.97
129,4.7926,17.305,6.6067,161.13
130,4.7219,30.929,87.66,180.8
131,4.7157,108.02,73.124,71.798
132,4.7515,100.7,213.57,116.21
133,4.8936,98.529,9.0859,101.91
134,4.9962,188.02,100.36,86.652
135,4.7455,188.18,142.96,85.648
136,4.7515,50.825,207.02,3.1641
137,4.7567,23.572,111.04,199.68
138,4.8851,178.86,30.795,103.41
139,4.9534,104.36,60.765,84.056
140,4.6693,199.88,87.637,71.832
141,4.6647,57.39,99.871,197.18
142,4.7619,208.24,54.378,65.782
143,4.7627,197.62,35.038,87.103
144,4.655,22.199,31.757,64.747
145,4.7694,149.47,35.571,119.94
146,4.7615,45.681,53.194,198.24
147,4.752,182.13,217.86,53.198
148,4.8244,90.531,42.785,2.5805
149,4.605,180.77,13.236,85.158
150,4.7115,187.27,181.92,159.06
151,4.5964,187.58,34.742,86.79
152,4.7643,186.92,171,215.65
153,4.6246,100.74,41.555,199.06
154,4.6685,88.223,58.995,7.5133
155,4.7618,207.78,59.298,194.04
156,4.6407,100.42,59.834,129.25
157,4.7087,56.491,199.12,13.71
158,4.7058,12.659,0.13625,158.02
159,4.5715,97.389,49.164,17.849
160,4.7699,209.66,87.729,101.3
161,4.6656,153.78,163.16,118.38
162,4.6568,113.49,47.532,84.418
163,4.6902,190.42,134.15,90.886
164,4.545,92.523,190.05,56.811
165,4.6149,105.11,69.362,78.632
166,4.6902,21.866,93.128,50.541
167,4.775,206.32,25.485,56.646
168,4.673,174.6,166.91,202.94
169,4.7064,99.516,27.945,213.84
170,4.55,100.13,48.901,67.699
171,4.7313,97.929,83.179,71.439
172,4.7203,102.66,217.48,120.31
173,4.56,195.22,113.26,59.563
174,4.5892,46.728,136.32,133.39
175,4.5115,198.8,63.097,193.33
176,4.6189,207.98,202.05,197.18
177,4.6211,118.58,0.13625,196.33
178,4.5756,20.081,1.2711,2.0242
179,4.7561,41.284,98.37,200.87
180,4.6849,21.281,101.44,186.8
181,4.6205,116.7,66.651,63.84
182,4.5011,185.98,57.121,197.15
183,4.6838,84.413,39.597,116.4
184,4.7641,173.56,23.198,194.78
185,4.6626,167.56,168.84,175.37
186,4.4895,208.87,119.52,140.2
187,4.7534,91.813,62.653,53.027
188,4.6783,162.88,210.23,110.61
189,4.4996,188.98,79.964,176.96
190,4.6204,19.236,18.029,57.354
191,4.8174,81.239,38.692,91.285
192,4.7196,158.36,128.8,170.84
193,4.5793,170.1,165.25,107.27
194,4.6231,51.084,135.37,127.04
195,4.6374,96.558,74.313,122.31
196,4.4813,44.802,11.881,11.322
197,4.5122,213.48,96.849,176.68
198,4.6122,103.51,44.57,80.84
199,4.5886,202.25,197.43,172.96
200,4.6782,156.8,70.672,83.11
201,4.5642,183.88,45.922,96.056
202,4.464,99.033,45.099,76.415
203,4.5679,102.93,86.46,59.542
204,4.4939,197.7,96.645,64.706
205,4.5098,6.4237,15.422,47.867
206,4.5753,180.51,163.58,82.494
207,4.5878,156.89,174.33,181.6
208,4.5647,3.9056,109.41,169.16
209,4.5444,196.93,54.391,80.022
210,4.6177,210.55,46.168,48.813
211,4.4785,201.54,87.09,63.355
212,4.5271,184.08,19.735,87.822
213,4.5326,157.97,31.473,89.012
214,4.922,208.4,158.05,191.02
215,4.4936,210.26,52.995,166.05
216,4.5325,191.69,51.339,179.77
217,4.5864,216.05,45.916,200.69
218,4.4865,87.366,36.924,44.253
219,4.7096,118.86,81.044,45.783
220,4.4627,48.395,127.68,127.13
221,4.5192,14.073,89.225,172.59
222,4.4265,28.476,105.87,212.15
223,4.6098,25.694,7.4118,163.6
224,4.6536,22.995,87.387,179.31
225,4.4661,26.538,67.476,207.22
226,4.5377,23.346,8.9164,15.978
227,4.6106,65.034,150.56,93.175
228,4.625,121.71,40.125,119.05
229,4.6224,42.476,86.439,116.22
230,4.4245,38.271,69.606,197.42
231,4.69,167.3,46.848,214.59
232,4.4204,145.95,147.29,178.35
233,4.527,190.64,30.864,95.748
234,4.5279,22.214,46.228,14.921
235,4.5525,117.12,15.374,143.24
236,4.5373,212.65,42.375,182.79
